scrip_name|isin
# Seed security master (scrip name -> ISIN). PoC seed harvested from the sample
# output files. REPLACE with Axis's authoritative security master before go-live.
# Format: <scrip name>|<ISIN>.  Lines starting with '#' are ignored.
TATA COMMUNICATIONS LTD|INE151A01013
MARKSANS PHARMA LIMITED|INE750C01026
RATEGAIN TRAVEL TECHNOLOGIES LIMITED|INE0CLI01024
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED|INE067A01029
INSOLATION ENERGY LIMITED|INE0LGX01024
BHARTI AIRTEL LIMITED|INE397D01024
HCL TECHNOLOGIES LTD|INE860A01027
HDFC BANK LTD|INE040A01034
HERO MOTOCORP LIMITED|INE158A01026
INFOSYS LIMITED|INE009A01021
JSW INFRASTRUCTURE LIMITED|INE880J01026
KOTAK MAHINDRA BANK|INE237A01036
MAHINDRA & MAHINDRA|INE101A01026
NMDC LTD|INE584A01023
RELIANCE INDUSTRIES|INE002A01018
TATA STEEL LIMITED|INE081A01020
WIPRO LTD|INE075A01022
BAJAJ FINANCE LIMITED|INE296A01032
BAJAJ HOUSING FINANCE|INE377Y01014
BANK OF MAHARASHTRA|INE457A01014
CANARA BANK|INE476A01022
COFORGE LIMITED|INE591G01025
FIRSTSOURCE SOLUTIONS LTD|INE684F01012
HINDUSTAN AERONAUTICS|INE066F01020
MAZAGON DOCK SHIPBUILDERS|INE249Z01020
VEDANTA LIMITED|INE205A01025
ADANI POWER LTD|INE814H01029
ADANI TOTAL GAS LIMITED|INE399L01023
ITC HOTELS LIMITED|INE379A01028
CONTAINER CORP OF INDIA|INE111A01025
DOLLAR INDUSTRIES LIMITED|INE325C01035
AUROBINDO PHARMA LTD|INE406A01037
BSE LIMITED|INE118H01025
